# replication time (downloaded from Lawrence Nature 2013. Supplementary Table5)
chr	start	end	replication_time
1	1	100000	NaN
1	100001	200000	594
1	200001	300000	NaN
1	300001	400000	NaN
1	400001	500000	NaN
1	500001	600000	NaN
1	600001	700000	796
1	700001	800000	188
1	800001	900000	467
1	900001	1000000	239
1	1000001	1100000	234
1	1100001	1200000	194
1	1200001	1300000	196
1	1300001	1400000	273
1	1400001	1500000	187
1	1500001	1600000	248
1	1600001	1700000	214
1	1700001	1800000	243
1	1800001	1900000	229
1	1900001	2000000	233
1	2000001	2100000	279
1	2100001	2200000	293
1	2200001	2300000	262
1	2300001	2400000	302
1	2400001	2500000	217
1	2500001	2600000	228
1	2600001	2700000	335
1	2700001	2800000	NaN
1	2800001	2900000	625
1	2900001	3000000	634
1	3000001	3100000	632
1	3100001	3200000	623
1	3200001	3300000	587
1	3300001	3400000	483
1	3400001	3500000	350
1	3500001	3600000	251
1	3600001	3700000	288
1	3700001	3800000	341
1	3800001	3900000	412
1	3900001	4000000	NaN
1	4000001	4100000	NaN
1	4100001	4200000	597
1	4200001	4300000	643
1	4300001	4400000	744
1	4400001	4500000	820
1	4500001	4600000	851
1	4600001	4700000	881
1	4700001	4800000	885
1	4800001	4900000	921
1	4900001	5000000	927
1	5000001	5100000	945
1	5100001	5200000	949
1	5200001	5300000	918
1	5300001	5400000	898
1	5400001	5500000	868
1	5500001	5600000	795
1	5600001	5700000	740
1	5700001	5800000	638
1	5800001	5900000	578
1	5900001	6000000	494
1	6000001	6100000	370
1	6100001	6200000	271
1	6200001	6300000	240
1	6300001	6400000	205
1	6400001	6500000	176
1	6500001	6600000	198
1	6600001	6700000	203
1	6700001	6800000	259
1	6800001	6900000	397
1	6900001	7000000	418
1	7000001	7100000	461
1	7100001	7200000	449
1	7200001	7300000	396
1	7300001	7400000	240
1	7400001	7500000	307
1	7500001	7600000	283
1	7600001	7700000	340
1	7700001	7800000	462
1	7800001	7900000	422
1	7900001	8000000	415
1	8000001	8100000	207
1	8100001	8200000	141
1	8200001	8300000	166
1	8300001	8400000	256
1	8400001	8500000	321
1	8500001	8600000	436
1	8600001	8700000	380
1	8700001	8800000	300
1	8800001	8900000	145
1	8900001	9000000	141
1	9000001	9100000	171
1	9100001	9200000	264
1	9200001	9300000	201
1	9300001	9400000	297
1	9400001	9500000	281
1	9500001	9600000	252
1	9600001	9700000	268
1	9700001	9800000	204
1	9800001	9900000	177
1	9900001	10000000	193
1	10000001	10100000	183
1	10100001	10200000	240
1	10200001	10300000	209
1	10300001	10400000	181
1	10400001	10500000	306
1	10500001	10600000	383
1	10600001	10700000	392
1	10700001	10800000	433
1	10800001	10900000	429
1	10900001	11000000	314
1	11000001	11100000	268
1	11100001	11200000	307
1	11200001	11300000	408
1	11300001	11400000	416
1	11400001	11500000	524
1	11500001	11600000	482
1	11600001	11700000	403
1	11700001	11800000	264
1	11800001	11900000	187
1	11900001	12000000	196
1	12000001	12100000	207
1	12100001	12200000	199
1	12200001	12300000	191
1	12300001	12400000	263
1	12400001	12500000	340
1	12500001	12600000	242
1	12600001	12700000	230
1	12700001	12800000	294
1	12800001	12900000	454
1	12900001	13000000	571
1	13000001	13100000	792
1	13100001	13200000	NaN
1	13200001	13300000	NaN
1	13300001	13400000	NaN
1	13400001	13500000	NaN
1	13500001	13600000	NaN
1	13600001	13700000	NaN
1	13700001	13800000	NaN
1	13800001	13900000	854
1	13900001	14000000	864
1	14000001	14100000	843
1	14100001	14200000	892
1	14200001	14300000	916
1	14300001	14400000	947
1	14400001	14500000	996
1	14500001	14600000	949
1	14600001	14700000	915
1	14700001	14800000	869
1	14800001	14900000	836
1	14900001	15000000	869
1	15000001	15100000	802
1	15100001	15200000	754
1	15200001	15300000	648
1	15300001	15400000	620
1	15400001	15500000	516
1	15500001	15600000	432
1	15600001	15700000	226
1	15700001	15800000	212
1	15800001	15900000	188
1	15900001	16000000	162
1	16000001	16100000	154
1	16100001	16200000	174
1	16200001	16300000	169
1	16300001	16400000	170
1	16400001	16500000	197
1	16500001	16600000	182
1	16600001	16700000	186
1	16700001	16800000	176
1	16800001	16900000	191
1	16900001	17000000	259
1	17000001	17100000	304
1	17100001	17200000	343
1	17200001	17300000	247
1	17300001	17400000	221
1	17400001	17500000	194
1	17500001	17600000	182
1	17600001	17700000	168
1	17700001	17800000	210
1	17800001	17900000	196
1	17900001	18000000	194
1	18000001	18100000	279
1	18100001	18200000	416
1	18200001	18300000	466
1	18300001	18400000	553
1	18400001	18500000	627
1	18500001	18600000	649
1	18600001	18700000	678
1	18700001	18800000	692
1	18800001	18900000	648
1	18900001	19000000	624
1	19000001	19100000	598
1	19100001	19200000	532
1	19200001	19300000	453
1	19300001	19400000	316
1	19400001	19500000	385
1	19500001	19600000	414
1	19600001	19700000	448
